"#","President","Birth date","Presidency start date","Age at start date","Presidency end date","Age at end date","Post-presidency timespan","Death date","Lifespan"
"35","John F. Kennedy","May 29, 1917","Jan 20, 1961","43 years, 236 days","Nov 22, 1963","46 years, 177 days","00,0000 days","Nov 22, 1963","46 years, 177 days (16,978 days)"
"36","Lyndon B. Johnson","Aug 27, 1908","Nov 22, 1963","55 years, 87 days","Jan 20, 1969","60 years, 146 days","01,4631,463 days (4 years, 2 days)","Jan 22, 1973","64 years, 148 days (23,524 days)"
"37","Richard Nixon","Jan 9, 1913","Jan 20, 1969","56 years, 11 days","Aug 9, 1974","61 years, 212 days","07,1967,196 days (19 years, 256 days)","Apr 22, 1994","81 years, 103 days (29,688 days)"
"38","Gerald Ford","Jul 14, 1913","Aug 9, 1974","61 years, 26 days","Jan 20, 1977","63 years, 190 days","10,93210,932 days (29 years, 340 days)","Dec 26, 2006","93 years, 165 days (34,133 days)"
"39","Jimmy Carter","Oct 1, 1924","Jan 20, 1977","52 years, 111 days","Jan 20, 1981","56 years, 111 days","13,47513,475 days (36 years, 326 days)","2017-12-12","93 years, 72 days(34,040 days)"
"40","Ronald Reagan","Feb 6, 1911","Jan 20, 1981","69 years, 349 days","Jan 20, 1989","77 years, 349 days","05,6155,615 days (15 years, 137 days)","Jun 5, 2004","93 years, 120 days (34,088 days)"
"41","George H. W. Bush","Jun 12, 1924","Jan 20, 1989","64 years, 222 days","Jan 20, 1993","68 years, 222 days","09,0929,092 days (24 years, 326 days)","2017-12-12","93 years, 183 days(34,151 days)"
"42","Bill Clinton","Aug 19, 1946","Jan 20, 1993","46 years, 154 days","Jan 20, 2001","54 years, 154 days","06,1706,170 days (16 years, 326 days)","2017-12-12","71 years, 115 days(26,048 days)"
"43","George W. Bush","Jul 6, 1946","Jan 20, 2001","54 years, 198 days","Jan 20, 2009","62 years, 198 days","03,2483,248 days (8 years, 326 days)","2017-12-12","71 years, 159 days(26,092 days)"
"44","Barack Obama","Aug 4, 1961","Jan 20, 2009","47 years, 169 days","Jan 20, 2017","55 years, 169 days","00,134326326 days","2017-12-12","56 years, 130 days(20,584 days)"
"45","Donald Trump","Jun 14, 1946","Jan 20, 2017","70 years, 220 days","2017-12-12","78 years, 364 days","24,817","2017-12-12","71 years, 181 days(26,114 days)"
"#","President","Birth date","Presidency start date","Age at start date","Presidency end date","Age at end date","Post-presidency timespan","Death date","Lifespan"
